"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value"
"CHEMBL4461696";"";"None";"312.28";"0";"2.94";"2";"O=C(/C=C/c1ccc([N+](=O)[O-])cc1)Nc1ccccc1C(=O)O";"pIC50";"";"";"";"";"";"Not Determined";"";"";"";"";"";"0";"CHEMBL4347279";"Antagonist activity at human TRPM8 expressed in HEK293 cells assessed as inhibition in WS5-induced increase in calcium influx incubated for 10 mins prior to WS5 challenge by Fluo-4-AM dye based fluorescence assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL1075319";"Transient receptor potential cation channel subfamily M member 8";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4346663";"1";"Scientific Literature";"Eur J Med Chem";"2019";"CHEMBL3307715";"";"";""
"CHEMBL242002";"";"None";"245.28";"0";"1.78";"19";"O=C(O)[C@@H]1CCCN1C(=O)/C=C/c1ccccc1";"pIC50";"";"";"";"";"";"Not Determined";"";"";"";"";"";"0";"CHEMBL4347279";"Antagonist activity at human TRPM8 expressed in HEK293 cells assessed as inhibition in WS5-induced increase in calcium influx incubated for 10 mins prior to WS5 challenge by Fluo-4-AM dye based fluorescence assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL1075319";"Transient receptor potential cation channel subfamily M member 8";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4346663";"1";"Scientific Literature";"Eur J Med Chem";"2019";"CHEMBL3307715";"";"";""
"CHEMBL4460424";"";"None";"343.38";"0";"4.56";"21";"O=C(Nc1ccccc1C(=O)O)/C(=C/c1ccccc1)c1ccccc1";"IC50";"";"";"";"";"";"Not Determined";"";"";"";"";"";"0";"CHEMBL4347279";"Antagonist activity at human TRPM8 expressed in HEK293 cells assessed as inhibition in WS5-induced increase in calcium influx incubated for 10 mins prior to WS5 challenge by Fluo-4-AM dye based fluorescence assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL1075319";"Transient receptor potential cation channel subfamily M member 8";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4346663";"1";"Scientific Literature";"Eur J Med Chem";"2019";"CHEMBL3307715";"";"";""
"CHEMBL4246904";"";"None";"493.38";"1";"6.33";"16";"O=C(N[C@@H](c1ccc(C(F)(F)F)c(F)c1)c1ncccc1C(F)(F)F)c1ccc2cccnc2c1";"IC50";"'='";"19.0";"nM";"7.72";"";"";"UO_0000065";"15.65";"0.30";"1.39";"14.07";"0";"CHEMBL4236562";"Antagonist activity at human TRPM8 expressed in CHO cells assessed as inhibition of icilin-induced intracellular calcium levels preincubated for 2.5 mins followed by icilin addition by CCD-camera-based FLASH luminometric analysis";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO";"None";"";"";"";"CHEMBL1075319";"Transient receptor potential cation channel subfamily M member 8";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4229551";"1";"Scientific Literature";"J Med Chem";"2018";"None";"";"";""
"CHEMBL258405";"ICILLIN";"3.0";"311.30";"0";"2.87";"52";"O=C1NC(c2cccc([N+](=O)[O-])c2)=CCN1c1ccccc1O";"EC50";"'='";"60.0";"nM";"7.22";"";"";"UO_0000065";"23.20";"0.43";"4.35";"7.55";"0";"CHEMBL1118250";"Activation of TRPM8 channel";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1075319";"Transient receptor potential cation channel subfamily M member 8";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1155439";"1";"Scientific Literature";"J Med Chem";"2010";"None";"";"";""
"CHEMBL3687392";"";"None";"612.55";"2";"6.60";"BDBM151785";"COC(c1ccc(CN(c2ncc3ccccc3c2C)S(=O)(=O)c2ccc(C(=O)O)cc2)cc1)(C(F)(F)F)C(F)(F)F";"IC50";"'='";"1.7";"nM";"8.77";"";"291845";"UO_0000065";"14.32";"0.29";"2.17";"9.06";"0";"CHEMBL3705684";"Inhibition Assay: The functional activity of compounds was determined by measuring changes in intracellular calcium concentration using a Ca2+ sensitive fluorescent dye. The changes in fluorescent signal were monitored by the cell imaging technology by Hamamatsu Photonics's Functional Drug Screening System (FDSS). Increases in intracellular Ca2+ concentration were readily detected upon activation with menthol.HEK293 cells stably expressing human TRPM8 were grown in flasks. On assay day, the culture medium was removed, and cells were washed with phosphate-buffered saline (PBS) and harvested with PBS containing 2 mM ethylenediaminetetraacetic acid, disodium salt (EDTA, 2Na). The cells were then incubated with assay buffer containing 3 uM Fura-2AM and 0.01% Pluronic F-127 for 60 min. Subsequently, suspended 20,000 to 50,000 cells per well were incubated with test compound (at varying concentrations) in each well for 20 min at 37 C.";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"HEK293";"None";"";"";"";"CHEMBL1075319";"Transient receptor potential cation channel subfamily M member 8";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3638696";"37";"BindingDB Database";"";"2015";"CHEMBL3307715";"";"";""
"CHEMBL3687397";"";"None";"584.62";"2";"7.19";"BDBM151790";"Cc1c(N(Cc2ccc(OC(F)(F)F)cc2)S(=O)(=O)c2ccc(C(=O)O)cc2)nc(C2CCCC2)c2ccccc12";"IC50";"'='";"9.2";"nM";"8.04";"";"291850";"UO_0000065";"13.75";"0.27";"0.85";"8.30";"0";"CHEMBL3705684";"Inhibition Assay: The functional activity of compounds was determined by measuring changes in intracellular calcium concentration using a Ca2+ sensitive fluorescent dye. The changes in fluorescent signal were monitored by the cell imaging technology by Hamamatsu Photonics's Functional Drug Screening System (FDSS). Increases in intracellular Ca2+ concentration were readily detected upon activation with menthol.HEK293 cells stably expressing human TRPM8 were grown in flasks. On assay day, the culture medium was removed, and cells were washed with phosphate-buffered saline (PBS) and harvested with PBS containing 2 mM ethylenediaminetetraacetic acid, disodium salt (EDTA, 2Na). The cells were then incubated with assay buffer containing 3 uM Fura-2AM and 0.01% Pluronic F-127 for 60 min. Subsequently, suspended 20,000 to 50,000 cells per well were incubated with test compound (at varying concentrations) in each well for 20 min at 37 C.";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"HEK293";"None";"";"";"";"CHEMBL1075319";"Transient receptor potential cation channel subfamily M member 8";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3638696";"37";"BindingDB Database";"";"2015";"CHEMBL3307715";"";"";""
"CHEMBL4649088";"";"None";"345.40";"0";"2.16";"23";"O=C1N[C@H](Cc2ccccc2)C(=O)N2Cc3[nH]c4ccccc4c3C[C@@H]12";"Inhibition";"";"";"%";"";"";"Dose-dependent effect";"UO_0000187";"";"";"";"";"0";"CHEMBL4626854";"Antagonist activity at human TRPM8 expressed in HEK-293/TRPM8 exon1 K3 cells assessed as inhibition of menthol-induced current response by whole-cell voltage clamp method";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1075319";"Transient receptor potential cation channel subfamily M member 8";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4622981";"1";"Scientific Literature";"J Med Chem";"2020";"None";"";"";""
"CHEMBL122413";"";"None";"287.75";"0";"4.00";"SB366791";"COc1cccc(NC(=O)/C=C/c2ccc(Cl)cc2)c1";"IC50";"'>'";"10000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL4835358";"Inhibition of human TRPM8 expressed in HEK293T cells assessed as blocked of menthol-activated current by whole cell patch clamp electrophysiology relative to control";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293T";"None";"";"";"";"CHEMBL1075319";"Transient receptor potential cation channel subfamily M member 8";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4834416";"1";"Scientific Literature";"J Med Chem";"2021";"None";"";"";""
"CHEMBL3235963";"";"None";"421.42";"1";"5.76";"23";"N#Cc1ccc(NC(=O)N2CCc3ccccc3[C@H]2c2ccc(C(F)(F)F)cc2)cc1";"IC50";"'='";"155.0";"nM";"6.81";"";"";"UO_0000065";"16.16";"0.30";"1.05";"12.13";"0";"CHEMBL3239164";"Antagonist activity at human TRPM8 assessed as inhibition of icilin-induced Ca2+ influx incubated 2.5 mins prior to icilin challenge by luminometry";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1075319";"Transient receptor potential cation channel subfamily M member 8";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3232803";"1";"Scientific Literature";"J Med Chem";"2014";"None";"";"";""
"CHEMBL3235973";"";"None";"415.39";"1";"5.42";"34";"O=C(Nc1ccc(F)cc1)N1CCc2ncccc2[C@H]1c1ccc(C(F)(F)F)cc1";"IC50";"'='";"391.0";"nM";"6.41";"";"";"UO_0000065";"15.43";"0.29";"0.99";"14.17";"0";"CHEMBL3239164";"Antagonist activity at human TRPM8 assessed as inhibition of icilin-induced Ca2+ influx incubated 2.5 mins prior to icilin challenge by luminometry";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1075319";"Transient receptor potential cation channel subfamily M member 8";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3232803";"1";"Scientific Literature";"J Med Chem";"2014";"None";"";"";""
"CHEMBL4752955";"";"None";"407.42";"0";"3.72";"13s";"NC(=O)[C@@H](c1ccccc1)N(C(=O)c1cccnc1)[C@@H]1CCc2c(F)cc(F)cc21";"IC50";"'='";"110.0";"nM";"6.96";"";"";"UO_0000065";"17.08";"0.32";"3.24";"9.12";"0";"CHEMBL4688478";"Antagonist activity at human TRPM8 transfected in HEK293T cells assessed as reduction in menthol-induced calcium influx measured after 60 mins by Fluo-4 AM dye based fluorescence analysis";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293T";"None";"";"";"";"CHEMBL1075319";"Transient receptor potential cation channel subfamily M member 8";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4680310";"1";"Scientific Literature";"Bioorg Med Chem";"2021";"None";"TIME = 1.0 hr";"ANTAGONIST";""
"CHEMBL3941901";"";"None";"517.46";"1";"3.30";"BDBM191726";"Cn1c(=O)c2c(CC(=O)Nc3nc(-c4ccc(F)c(C(F)(F)F)c4F)cs3)nsc2n(C)c1=O";"IC50";"'>'";"10000.0";"nM";"";"";"343299";"UO_0000065";"";"";"";"";"0";"CHEMBL3887577";"Radiometric Calcium Assay: The inhibition of TRPA1 receptor activation was measured as inhibition of allylisothiocyanate (AITC) induced cellular uptake of radioactive calcium. Test compounds were dissolved in DMSO to prepare 10 mM stock solution and then diluted using plain medium with 0.1% BSA and 1.8 mM CaCl2 to get desired concentration. Final concentration of DMSO in the reaction was 0.5% (v/v). Human TRPA1 expressing CHO cells were grown in F-12 DMEM medium with 10% FBS, 1% penicillin-streptomycin solution, and 400 ug/ml of G-418. Cells were seeded 24 h prior to the assay in 96 well plates so as to get 50,000 cells per well on the day of experiment. Cells were treated with test compounds for 10 min followed by addition of AITC at a final concentration of 30 micromolar and 5 uCi/ml 45Ca+2 for 3 min at 25° C. Cells were washed and lysed using buffer containing 1% Triton X-100, 0.1% deoxycholate and 0.1% SDS. Radioactivity in the lysate was measured in Packard Top count.";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"CHO";"None";"";"";"";"CHEMBL1075319";"Transient receptor potential cation channel subfamily M member 8";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3886359";"37";"BindingDB Database";"";"2015";"CHEMBL3308072";"";"";""
"CHEMBL4864346";"";"None";"422.28";"1";"5.47";"C16";"O=C(/C=C/c1ccc(-c2ccccc2)cc1)Nc1ccc(Br)cc1C(=O)O";"Inhibition";"'='";"93.3";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL4835356";"Inhibition of human TRPM8 expressed in HEK293T cells assessed as blocked of menthol-activated current at 10 uM by whole cell patch clamp electrophysiology relative to control";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293T";"None";"";"";"";"CHEMBL1075319";"Transient receptor potential cation channel subfamily M member 8";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4834416";"1";"Scientific Literature";"J Med Chem";"2021";"None";"Dose = 10.0 microM";"BLOCKER";""
"CHEMBL256087";"MENTHOL";"4.0";"156.27";"0";"2.44";"Menthol";"CC1CCC(C(C)C)C(O)C1";"EC50";"'='";"34100.0";"nM";"4.47";"";"";"UO_0000065";"28.59";"0.55";"2.03";"22.08";"0";"CHEMBL1243608";"Activity at human TRPM8 H845A mutant expressed in HEK293 cells assessed as compound concentration causing leftward shift of voltage for half maximal activation";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"Q7Z2W7";"H845A";"CHEMBL1075319";"Transient receptor potential cation channel subfamily M member 8";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1240324";"1";"Scientific Literature";"Nat Chem Biol";"2007";"CHEMBL3307715";"";"";""
"CHEMBL4515858";"";"None";"299.33";"0";"2.96";"17";"COc1ccc(CCC(=O)Nc2ccccc2C(=O)O)cc1";"Activity";"";"";"";"";"";"Not Active";"";"";"";"";"";"0";"CHEMBL4347277";"Agonist activity at human TRPM8 expressed in HEK293 cells assessed as increase in calcium influx at 30 uM by Fluo-4-AM dye based fluorescence assay relative to calcimycin";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL1075319";"Transient receptor potential cation channel subfamily M member 8";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4346663";"1";"Scientific Literature";"Eur J Med Chem";"2019";"CHEMBL3307715";"";"";""
"CHEMBL1081755";"";"None";"267.28";"0";"3.04";"1";"O=C(/C=C/c1ccccc1)Nc1ccccc1C(=O)O";"IC50";"";"";"";"";"";"Not Determined";"";"";"";"";"";"0";"CHEMBL4347279";"Antagonist activity at human TRPM8 expressed in HEK293 cells assessed as inhibition in WS5-induced increase in calcium influx incubated for 10 mins prior to WS5 challenge by Fluo-4-AM dye based fluorescence assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL1075319";"Transient receptor potential cation channel subfamily M member 8";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4346663";"1";"Scientific Literature";"Eur J Med Chem";"2019";"CHEMBL3307715";"";"";""
"CHEMBL492219";"";"None";"269.30";"0";"2.96";"16";"O=C(CCc1ccccc1)Nc1ccccc1C(=O)O";"IC50";"";"";"";"";"";"Not Determined";"";"";"";"";"";"0";"CHEMBL4347279";"Antagonist activity at human TRPM8 expressed in HEK293 cells assessed as inhibition in WS5-induced increase in calcium influx incubated for 10 mins prior to WS5 challenge by Fluo-4-AM dye based fluorescence assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL1075319";"Transient receptor potential cation channel subfamily M member 8";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4346663";"1";"Scientific Literature";"Eur J Med Chem";"2019";"CHEMBL3307715";"";"";""
"CHEMBL4527901";"";"None";"299.33";"0";"2.88";"22a";"COC(=O)c1ccccc1NC(=O)CCOc1ccccc1";"Activity";"'='";"12.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL4347284";"Antagonist activity at human TRPM8 expressed in HEK293 cells assessed as increase in calcium influx at 30 uM incubated for 10 mins prior to WS5 challenge by Fluo-4-AM dye based fluorescence assay relative to WS5";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL1075319";"Transient receptor potential cation channel subfamily M member 8";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4346663";"1";"Scientific Literature";"Eur J Med Chem";"2019";"CHEMBL3307715";"";"";""
"CHEMBL4247395";"";"None";"442.33";"1";"5.78";"24";"O=C(N[C@@H](c1ccc(C(F)(F)F)c(F)c1)c1ncccc1C(F)(F)F)c1ccccc1";"IC50";"'='";"27.0";"nM";"7.57";"";"";"UO_0000065";"17.11";"0.33";"1.79";"18.02";"0";"CHEMBL4236562";"Antagonist activity at human TRPM8 expressed in CHO cells assessed as inhibition of icilin-induced intracellular calcium levels preincubated for 2.5 mins followed by icilin addition by CCD-camera-based FLASH luminometric analysis";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO";"None";"";"";"";"CHEMBL1075319";"Transient receptor potential cation channel subfamily M member 8";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4229551";"1";"Scientific Literature";"J Med Chem";"2018";"None";"";"";""
"CHEMBL4245344";"";"None";"475.39";"1";"6.19";"22";"O=C(N[C@@H](c1ccc(C(F)(F)F)cc1)c1cnccc1C(F)(F)F)c1ccc2cccnc2c1";"IC50";"'='";"311.0";"nM";"6.51";"";"";"UO_0000065";"13.69";"0.26";"0.32";"11.86";"0";"CHEMBL4236562";"Antagonist activity at human TRPM8 expressed in CHO cells assessed as inhibition of icilin-induced intracellular calcium levels preincubated for 2.5 mins followed by icilin addition by CCD-camera-based FLASH luminometric analysis";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO";"None";"";"";"";"CHEMBL1075319";"Transient receptor potential cation channel subfamily M member 8";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4229551";"1";"Scientific Literature";"J Med Chem";"2018";"None";"";"";""
"CHEMBL25719";"GERANIOL";"None";"154.25";"0";"2.67";"Geraniol";"CC(C)=CCC/C(C)=C/CO";"Efficacy";"'='";"28.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL3389499";"Agonist activity at TRPM8 (unknown origin) relative to untreated control";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1075319";"Transient receptor potential cation channel subfamily M member 8";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3352014";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2014";"None";"";"";""
"CHEMBL3353595";"";"None";"554.85";"2";"5.75";"34";"O=C(O)c1ccc(S(=O)(=O)N(Cc2ccccc2OC(F)(F)F)c2ncc(C(F)(F)F)cc2Cl)cc1";"IC50";"'='";"96.0";"nM";"7.02";"";"";"UO_0000065";"12.65";"0.27";"1.27";"7.25";"0";"CHEMBL3383300";"Antagonist activity at human TRPM8 expressed in HEK293 cells assessed as inhibition of menthol induced Ca2+ influx";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL1075319";"Transient receptor potential cation channel subfamily M member 8";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3351889";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2014";"CHEMBL3307715";"";"";""
"CHEMBL3353596";"";"None";"554.85";"2";"5.75";"35";"O=C(O)c1ccc(S(=O)(=O)N(Cc2cccc(OC(F)(F)F)c2)c2ncc(C(F)(F)F)cc2Cl)cc1";"IC50";"'='";"57.0";"nM";"7.24";"";"";"UO_0000065";"13.06";"0.27";"1.49";"7.48";"0";"CHEMBL3383300";"Antagonist activity at human TRPM8 expressed in HEK293 cells assessed as inhibition of menthol induced Ca2+ influx";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL1075319";"Transient receptor potential cation channel subfamily M member 8";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3351889";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2014";"CHEMBL3307715";"";"";""
"CHEMBL3353590";"";"None";"476.90";"1";"5.23";"28";"O=C(O)c1ccc(S(=O)(=O)N(CC2CCCCC2)c2ncc(C(F)(F)F)cc2Cl)cc1";"IC50";"'='";"104.0";"nM";"6.98";"";"";"UO_0000065";"14.64";"0.31";"1.75";"7.97";"0";"CHEMBL3383300";"Antagonist activity at human TRPM8 expressed in HEK293 cells assessed as inhibition of menthol induced Ca2+ influx";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL1075319";"Transient receptor potential cation channel subfamily M member 8";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3351889";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2014";"CHEMBL3307715";"";"";""
"CHEMBL2324349";"";"None";"523.53";"2";"6.46";"92";"Cc1c(N(Cc2ccc(F)c(C(F)(F)F)c2)S(=O)(=O)c2ccc(C(=O)O)cc2)sc2ccccc12";"IC50";"'='";"4.0";"nM";"8.40";"";"";"UO_0000065";"16.04";"0.33";"1.94";"11.25";"0";"CHEMBL2327963";"Inhibition of TRPM8 (unknown origin)";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1075319";"Transient receptor potential cation channel subfamily M member 8";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2321869";"1";"Scientific Literature";"J Med Chem";"2013";"None";"";"";""
"CHEMBL4238688";"";"None";"437.42";"1";"5.18";"13";"COc1ccc([C@H](NC(=O)c2ccc3cccnc3c2)c2ncccc2C(F)(F)F)cc1";"IC50";"'='";"95.0";"nM";"7.02";"";"";"UO_0000065";"16.05";"0.30";"1.84";"10.95";"0";"CHEMBL4236562";"Antagonist activity at human TRPM8 expressed in CHO cells assessed as inhibition of icilin-induced intracellular calcium levels preincubated for 2.5 mins followed by icilin addition by CCD-camera-based FLASH luminometric analysis";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO";"None";"";"";"";"CHEMBL1075319";"Transient receptor potential cation channel subfamily M member 8";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4229551";"1";"Scientific Literature";"J Med Chem";"2018";"None";"";"";""
"CHEMBL3298923";"";"None";"276.26";"0";"4.56";"31";"Cc1cc2[nH]ncc2cc1-c1ccccc1C(F)(F)F";"Inhibition";"'='";"90.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL3299556";"Antagonist activity at human TRPM8 expressed in CHOK1 cells assessed as inhibition of menthol-induced calcium flux incubated 10 mins prior to menthol addition by FLIPR assay relative to control";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO-K1";"None";"";"";"";"CHEMBL1075319";"Transient receptor potential cation channel subfamily M member 8";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3297713";"1";"Scientific Literature";"J Med Chem";"2014";"CHEMBL3307512";"";"";""
"CHEMBL3353591";"";"None";"493.89";"0";"2.98";"30";"O=C(O)c1ccc(S(=O)(=O)N(CCN2CCOCC2)c2ncc(C(F)(F)F)cc2Cl)cc1";"IC50";"'='";"3720.0";"nM";"5.43";"";"";"UO_0000065";"10.99";"0.23";"2.45";"5.43";"0";"CHEMBL3383300";"Antagonist activity at human TRPM8 expressed in HEK293 cells assessed as inhibition of menthol induced Ca2+ influx";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL1075319";"Transient receptor potential cation channel subfamily M member 8";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3351889";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2014";"CHEMBL3307715";"";"";""
"CHEMBL3353599";"";"None";"556.84";"2";"6.01";"38";"O=C(O)c1ccc(S(=O)(=O)N(Cc2ccc(F)c(C(F)(F)F)c2)c2ncc(C(F)(F)F)cc2Cl)cc1";"IC50";"'='";"14.0";"nM";"7.85";"";"";"UO_0000065";"14.10";"0.30";"1.84";"8.97";"0";"CHEMBL3383300";"Antagonist activity at human TRPM8 expressed in HEK293 cells assessed as inhibition of menthol induced Ca2+ influx";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL1075319";"Transient receptor potential cation channel subfamily M member 8";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3351889";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2014";"CHEMBL3307715";"";"";""
"CHEMBL3682544";"";"None";"541.46";"2";"5.19";"BDBM151631";"Cc1c(N(Cc2ccc(F)c(C(F)(F)F)n2)S(=O)(=O)c2ccc(C(=O)[O-])cc2)ncc2ccccc12.[Na+]";"IC50";"'='";"43.0";"nM";"7.37";"";"291691";"UO_0000065";"14.18";"0.28";"2.18";"7.33";"0";"CHEMBL3705684";"Inhibition Assay: The functional activity of compounds was determined by measuring changes in intracellular calcium concentration using a Ca2+ sensitive fluorescent dye. The changes in fluorescent signal were monitored by the cell imaging technology by Hamamatsu Photonics's Functional Drug Screening System (FDSS). Increases in intracellular Ca2+ concentration were readily detected upon activation with menthol.HEK293 cells stably expressing human TRPM8 were grown in flasks. On assay day, the culture medium was removed, and cells were washed with phosphate-buffered saline (PBS) and harvested with PBS containing 2 mM ethylenediaminetetraacetic acid, disodium salt (EDTA, 2Na). The cells were then incubated with assay buffer containing 3 uM Fura-2AM and 0.01% Pluronic F-127 for 60 min. Subsequently, suspended 20,000 to 50,000 cells per well were incubated with test compound (at varying concentrations) in each well for 20 min at 37 C.";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"HEK293";"None";"";"";"";"CHEMBL1075319";"Transient receptor potential cation channel subfamily M member 8";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3638696";"37";"BindingDB Database";"";"2015";"CHEMBL3307715";"";"";""
"CHEMBL3682553";"";"None";"540.47";"2";"5.79";"BDBM151640";"Cc1c(N(Cc2ccc(F)c(C(F)(F)F)c2)S(=O)(=O)c2ccc(C(=O)[O-])cc2)ncc2ccccc12.[Na+]";"IC50";"'='";"4.9";"nM";"8.31";"";"291700";"UO_0000065";"16.03";"0.32";"2.52";"9.49";"0";"CHEMBL3705684";"Inhibition Assay: The functional activity of compounds was determined by measuring changes in intracellular calcium concentration using a Ca2+ sensitive fluorescent dye. The changes in fluorescent signal were monitored by the cell imaging technology by Hamamatsu Photonics's Functional Drug Screening System (FDSS). Increases in intracellular Ca2+ concentration were readily detected upon activation with menthol.HEK293 cells stably expressing human TRPM8 were grown in flasks. On assay day, the culture medium was removed, and cells were washed with phosphate-buffered saline (PBS) and harvested with PBS containing 2 mM ethylenediaminetetraacetic acid, disodium salt (EDTA, 2Na). The cells were then incubated with assay buffer containing 3 uM Fura-2AM and 0.01% Pluronic F-127 for 60 min. Subsequently, suspended 20,000 to 50,000 cells per well were incubated with test compound (at varying concentrations) in each well for 20 min at 37 C.";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"HEK293";"None";"";"";"";"CHEMBL1075319";"Transient receptor potential cation channel subfamily M member 8";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3638696";"37";"BindingDB Database";"";"2015";"CHEMBL3307715";"";"";""
